id_pesme,id_izvodjaca,zanr_pesme,id_slusaoca,trajanje_pesme,ocena_pesme,godina_izdavanja,jezik
329,61,7,2106,6,2,2002,5
33,26,4,1996,1,8,2001,6
262,41,10,552,3,3,2022,1
435,166,8,2659,6,1,2022,6
295,266,9,2197,3,3,2013,4
435,282,9,279,5,9,2021,5
371,21,2,1264,2,7,2012,6
320,4,5,2535,6,9,2008,2
105,178,9,1480,4,4,2007,4
245,271,4,982,4,2,2011,2
435,35,2,2215,2,9,2015,4
151,286,2,2906,4,7,2015,3
234,201,6,43,4,3,2023,3
92,111,9,2763,1,1,2011,3
191,78,7,2806,1,7,2023,1
462,45,2,49,3,4,2014,2
209,297,10,316,2,4,2016,3
170,101,8,181,6,2,2020,6
192,147,1,2158,6,10,2000,4
340,180,7,1677,4,1,2010,6
376,49,8,2695,3,3,2008,3
220,34,2,1832,1,2,2012,4
262,273,5,2151,5,7,2003,2
96,132,8,2956,1,2,2020,7
399,285,7,1103,5,5,2003,7
349,126,1,257,3,6,2001,3
77,2,3,3,6,1,2017,6
206,65,3,2478,4,4,2018,6
492,90,9,1600,2,2,2010,1
76,142,6,133,5,6,2006,4
350,172,5,2873,1,10,2021,4
38,253,7,1969,6,4,2001,3
131,88,10,1089,6,10,2015,1
206,231,6,2730,1,2,2019,4
432,219,6,381,1,10,2012,7
444,152,1,2363,2,5,2009,4
339,224,10,710,1,1,2006,6
142,39,9,2993,1,8,2023,1
69,115,4,1129,5,6,2010,1
319,3,3,570,5,7,2004,5
179,34,7,1708,1,9,2000,2
114,263,9,922,5,6,2023,2
147,221,9,626,4,10,2016,3
27,12,8,62,2,9,2003,4
356,298,4,1920,4,3,2017,2
96,79,9,138,1,10,2002,2
476,297,6,1851,2,6,2011,4
119,289,7,2134,2,5,2015,1
450,172,8,749,2,3,2013,5
43,242,1,312,3,9,2006,6
417,184,5,2913,6,2,2004,6
134,176,2,1477,3,9,2003,2
369,18,5,2481,2,10,2001,1
467,196,7,2307,6,6,2007,4
397,239,6,1506,4,8,2006,1
121,250,2,957,2,7,2008,5
67,179,9,1322,1,1,2003,6
210,189,8,1468,1,1,2010,1
113,238,1,690,3,2,2013,2
166,208,3,2618,3,5,2001,7
57,291,4,540,6,3,2013,1
381,129,6,1408,3,10,2000,6
378,160,2,2579,6,2,2018,7
360,138,5,1647,2,2,2002,7
413,128,9,2590,3,2,2015,1
